,participant,other_participant,round_nb,all_cond,extra_trials,manip,trial_cond,dyad
0,1,2,1,HNC_dom,False,dominant,HNC,p1p2
1,2,1,1,HNC_sub,False,submissive,HNC,p1p2
0,4,3,1,HNC_dom,False,dominant,HNC,p3p4
1,3,4,1,HNC_sub,False,submissive,HNC,p3p4
0,6,5,1,HNC_dom,False,dominant,HNC,p5p6
1,5,6,1,HNC_sub,False,submissive,HNC,p5p6
0,1,6,2,EC_dom,True,dominant,EC,p1p6
1,6,1,2,EC_sub,True,submissive,EC,p1p6
2,3,2,2,EC_dom,True,dominant,EC,p2p3
3,2,3,2,EC_sub,True,submissive,EC,p2p3
4,4,5,2,EC_dom,True,dominant,EC,p4p5
5,5,4,2,EC_sub,True,submissive,EC,p4p5
0,1,3,3,ENC_dom,False,dominant,ENC,p1p3
1,3,1,3,ENC_sub,False,submissive,ENC,p1p3
0,5,2,3,ENC_dom,False,dominant,ENC,p2p5
1,2,5,3,ENC_sub,False,submissive,ENC,p2p5
0,4,6,3,ENC_dom,False,dominant,ENC,p4p6
1,6,4,3,ENC_sub,False,submissive,ENC,p4p6
0,1,4,4,EC_dom,False,dominant,EC,p1p4
1,4,1,4,EC_sub,False,submissive,EC,p1p4
0,6,2,4,EC_dom,False,dominant,EC,p2p6
1,2,6,4,EC_sub,False,submissive,EC,p2p6
0,5,3,4,EC_dom,False,dominant,EC,p3p5
1,3,5,4,EC_sub,False,submissive,EC,p3p5
0,1,5,5,ENC_sub,False,submissive,ENC,p1p5
1,5,1,5,ENC_dom,False,dominant,ENC,p1p5
0,4,2,5,ENC_sub,False,submissive,ENC,p2p4
1,2,4,5,ENC_dom,False,dominant,ENC,p2p4
0,3,6,5,ENC_sub,False,submissive,ENC,p3p6
1,6,3,5,ENC_dom,False,dominant,ENC,p3p6
0,1,6,6,HNC_sub,False,submissive,HNC,p1p6
1,6,1,6,HNC_dom,False,dominant,HNC,p1p6
0,3,2,6,HNC_sub,False,submissive,HNC,p2p3
1,2,3,6,HNC_dom,False,dominant,HNC,p2p3
0,4,5,6,HNC_sub,False,submissive,HNC,p4p5
1,5,4,6,HNC_dom,False,dominant,HNC,p4p5
0,1,2,7,EC_sub,False,submissive,EC,p1p2
1,2,1,7,EC_dom,False,dominant,EC,p1p2
0,4,3,7,EC_sub,False,submissive,EC,p3p4
1,3,4,7,EC_dom,False,dominant,EC,p3p4
0,6,5,7,EC_sub,False,submissive,EC,p5p6
1,5,6,7,EC_dom,False,dominant,EC,p5p6
0,1,3,8,HNC_dom,False,dominant,HNC,p1p3
1,3,1,8,HNC_sub,False,submissive,HNC,p1p3
0,5,2,8,HNC_dom,False,dominant,HNC,p2p5
1,2,5,8,HNC_sub,False,submissive,HNC,p2p5
0,4,6,8,HNC_dom,False,dominant,HNC,p4p6
1,6,4,8,HNC_sub,False,submissive,HNC,p4p6
0,1,4,9,ENC_dom,False,dominant,ENC,p1p4
1,4,1,9,ENC_sub,False,submissive,ENC,p1p4
0,6,2,9,ENC_dom,False,dominant,ENC,p2p6
1,2,6,9,ENC_sub,False,submissive,ENC,p2p6
0,5,3,9,ENC_dom,False,dominant,ENC,p3p5
1,3,5,9,ENC_sub,False,submissive,ENC,p3p5
0,1,5,10,EC_dom,False,dominant,EC,p1p5
1,5,1,10,EC_sub,False,submissive,EC,p1p5
0,4,2,10,EC_dom,False,dominant,EC,p2p4
1,2,4,10,EC_sub,False,submissive,EC,p2p4
0,3,6,10,EC_dom,False,dominant,EC,p3p6
1,6,3,10,EC_sub,False,submissive,EC,p3p6
0,1,6,11,ENC_sub,False,submissive,ENC,p1p6
1,6,1,11,ENC_dom,False,dominant,ENC,p1p6
0,3,2,11,ENC_sub,False,submissive,ENC,p2p3
1,2,3,11,ENC_dom,False,dominant,ENC,p2p3
