,participant,other_participant,round_nb,all_cond,extra_trials,manip,trial_cond,dyad
0,1,6,1,EC_dom,True,dominant,EC,p1p6
1,6,1,1,EC_sub,True,submissive,EC,p1p6
2,3,2,1,EC_dom,True,dominant,EC,p2p3
3,2,3,1,EC_sub,True,submissive,EC,p2p3
4,4,5,1,EC_dom,True,dominant,EC,p4p5
5,5,4,1,EC_sub,True,submissive,EC,p4p5
0,1,2,2,ENC_dom,False,dominant,ENC,p1p2
1,2,1,2,ENC_sub,False,submissive,ENC,p1p2
0,4,3,2,ENC_dom,False,dominant,ENC,p3p4
1,3,4,2,ENC_sub,False,submissive,ENC,p3p4
0,6,5,2,ENC_dom,False,dominant,ENC,p5p6
1,5,6,2,ENC_sub,False,submissive,ENC,p5p6
0,1,3,3,EC_sub,False,submissive,EC,p1p3
1,3,1,3,EC_dom,False,dominant,EC,p1p3
0,5,2,3,EC_sub,False,submissive,EC,p2p5
1,2,5,3,EC_dom,False,dominant,EC,p2p5
0,4,6,3,EC_sub,False,submissive,EC,p4p6
1,6,4,3,EC_dom,False,dominant,EC,p4p6
0,1,2,4,EC_sub,True,submissive,EC,p1p2
1,2,1,4,EC_dom,True,dominant,EC,p1p2
2,4,3,4,EC_sub,True,submissive,EC,p3p4
3,3,4,4,EC_dom,True,dominant,EC,p3p4
4,6,5,4,EC_sub,True,submissive,EC,p5p6
5,5,6,4,EC_dom,True,dominant,EC,p5p6
0,1,4,5,ENC_sub,False,submissive,ENC,p1p4
1,4,1,5,ENC_dom,False,dominant,ENC,p1p4
0,6,2,5,ENC_sub,False,submissive,ENC,p2p6
1,2,6,5,ENC_dom,False,dominant,ENC,p2p6
0,5,3,5,ENC_sub,False,submissive,ENC,p3p5
1,3,5,5,ENC_dom,False,dominant,ENC,p3p5
0,1,5,6,HNC_sub,False,submissive,HNC,p1p5
1,5,1,6,HNC_dom,False,dominant,HNC,p1p5
0,4,2,6,HNC_sub,False,submissive,HNC,p2p4
1,2,4,6,HNC_dom,False,dominant,HNC,p2p4
0,3,6,6,HNC_sub,False,submissive,HNC,p3p6
1,6,3,6,HNC_dom,False,dominant,HNC,p3p6
0,1,6,7,EC_dom,False,dominant,EC,p1p6
1,6,1,7,EC_sub,False,submissive,EC,p1p6
0,3,2,7,EC_dom,False,dominant,EC,p2p3
1,2,3,7,EC_sub,False,submissive,EC,p2p3
0,4,5,7,EC_dom,False,dominant,EC,p4p5
1,5,4,7,EC_sub,False,submissive,EC,p4p5
0,1,3,8,EC_dom,True,dominant,EC,p1p3
1,3,1,8,EC_sub,True,submissive,EC,p1p3
2,5,2,8,EC_dom,True,dominant,EC,p2p5
3,2,5,8,EC_sub,True,submissive,EC,p2p5
4,4,6,8,EC_dom,True,dominant,EC,p4p6
5,6,4,8,EC_sub,True,submissive,EC,p4p6
0,1,2,9,HNC_dom,False,dominant,HNC,p1p2
1,2,1,9,HNC_sub,False,submissive,HNC,p1p2
0,4,3,9,HNC_dom,False,dominant,HNC,p3p4
1,3,4,9,HNC_sub,False,submissive,HNC,p3p4
0,6,5,9,HNC_dom,False,dominant,HNC,p5p6
1,5,6,9,HNC_sub,False,submissive,HNC,p5p6
0,1,4,10,EC_sub,True,submissive,EC,p1p4
1,4,1,10,EC_dom,True,dominant,EC,p1p4
2,6,2,10,EC_sub,True,submissive,EC,p2p6
3,2,6,10,EC_dom,True,dominant,EC,p2p6
4,5,3,10,EC_sub,True,submissive,EC,p3p5
5,3,5,10,EC_dom,True,dominant,EC,p3p5
0,1,3,11,ENC_dom,False,dominant,ENC,p1p3
1,3,1,11,ENC_sub,False,submissive,ENC,p1p3
0,5,2,11,ENC_dom,False,dominant,ENC,p2p5
1,2,5,11,ENC_sub,False,submissive,ENC,p2p5
0,4,6,11,ENC_dom,False,dominant,ENC,p4p6
1,6,4,11,ENC_sub,False,submissive,ENC,p4p6
0,1,4,12,EC_sub,False,submissive,EC,p1p4
1,4,1,12,EC_dom,False,dominant,EC,p1p4
0,6,2,12,EC_sub,False,submissive,EC,p2p6
1,2,6,12,EC_dom,False,dominant,EC,p2p6
0,5,3,12,EC_sub,False,submissive,EC,p3p5
1,3,5,12,EC_dom,False,dominant,EC,p3p5
0,1,5,13,ENC_sub,False,submissive,ENC,p1p5
1,5,1,13,ENC_dom,False,dominant,ENC,p1p5
0,4,2,13,ENC_sub,False,submissive,ENC,p2p4
